fecha,cod_depto,nom_depto,MPIO_CDPMP,nom_mpio,num_casos,poblacion,casos_por_millon
2021-08-25,54,NORTE SANTANDER,54599,RAGONVALIA,2,5420.0,370.0
2021-08-25,54,NORTE SANTANDER,54810,TIBU,1,51399.0,20.0
2021-08-25,54,NORTE SANTANDER,54820,TOLEDO,3,14962.0,201.0
2021-08-25,54,NORTE SANTANDER,54874,VILLA DEL ROSARIO,1,93735.0,11.0
2021-08-25,63,QUINDIO,63001,ARMENIA,23,275641.0,84.0
2021-08-25,63,QUINDIO,63401,LA TEBAIDA,1,32564.0,31.0
2021-08-25,63,QUINDIO,63470,MONTENEGRO,1,35324.0,29.0
2021-08-25,66,RISARALDA,66001,PEREIRA,22,409670.0,54.0
2021-08-25,66,RISARALDA,66045,APIA,1,10707.0,94.0
2021-08-25,66,RISARALDA,66170,DOSQUEBRADAS,2,194890.0,11.0
2021-08-25,66,RISARALDA,66383,LA CELIA,1,6178.0,162.0
2021-08-25,66,RISARALDA,66687,SANTUARIO,2,11787.0,170.0
2021-08-25,68,SANTANDER,68001,BUCARAMANGA,27,528855.0,52.0
2021-08-25,68,SANTANDER,68077,BARBOSA,3,28769.0,105.0
2021-08-25,68,SANTANDER,68079,BARICHARA,3,7647.0,393.0
2021-08-25,68,SANTANDER,68081,BARRANCABERMEJA,2,199564.0,11.0
2021-08-25,68,SANTANDER,68132,CALIFORNIA,1,1832.0,546.0
2021-08-25,68,SANTANDER,68167,CHARALA,1,11035.0,91.0
2021-08-25,68,SANTANDER,68211,CONTRATACION,1,3296.0,304.0
2021-08-25,68,SANTANDER,68276,FLORIDABLANCA,9,275109.0,33.0
2021-08-25,68,SANTANDER,68307,GIRON,3,150610.0,20.0
2021-08-25,68,SANTANDER,68406,LEBRIJA,1,37214.0,27.0
2021-08-25,68,SANTANDER,68533,PARAMO,1,4144.0,242.0
2021-08-25,68,SANTANDER,68547,PIEDECUESTA,2,157425.0,13.0
2021-08-25,68,SANTANDER,68572,PUENTE NACIONAL,1,12586.0,80.0
2021-08-25,68,SANTANDER,68679,SAN GIL,10,54687.0,183.0
2021-08-25,68,SANTANDER,68872,VILLANUEVA,2,6738.0,297.0
2021-08-25,70,SUCRE,70001,SINCELEJO,9,274622.0,33.0
2021-08-25,70,SUCRE,70215,COROZAL,1,66350.0,16.0
2021-08-25,70,SUCRE,70235,GALERAS (NUEVA GRANADA),2,20239.0,99.0
2021-08-25,70,SUCRE,70473,MORROA,1,14793.0,68.0
2021-08-25,70,SUCRE,70678,SAN BENITO ABAD,2,25511.0,79.0
2021-08-25,70,SUCRE,70708,SAN MARCOS,1,53340.0,19.0
2021-08-25,70,SUCRE,70713,SAN ONOFRE,1,47952.0,21.0
2021-08-25,70,SUCRE,70742,SINCE,2,30188.0,67.0
2021-08-25,73,TOLIMA,73001,IBAGUE,15,500686.0,30.0
2021-08-25,73,TOLIMA,73268,ESPINAL,3,67983.0,45.0
2021-08-25,73,TOLIMA,73319,GUAMO,2,30516.0,66.0
2021-08-25,73,TOLIMA,73347,HERVEO,1,6368.0,158.0
2021-08-25,73,TOLIMA,73411,LIBANO,1,33262.0,31.0
2021-08-25,73,TOLIMA,73678,SAN LUIS,1,12139.0,83.0
2021-08-25,73,TOLIMA,73861,VENADILLO,1,12137.0,83.0
2021-08-25,76,VALLE,76001,CALI,228,1822869.0,126.0
2021-08-25,76,VALLE,76020,ALCALA,2,12186.0,165.0
2021-08-25,76,VALLE,76100,BOLIVAR,1,13954.0,72.0
2021-08-25,76,VALLE,76109,BUENAVENTURA,5,258445.0,20.0
2021-08-25,76,VALLE,76111,BUGA,4,115821.0,35.0
2021-08-25,76,VALLE,76113,BUGALAGRANDE,2,22052.0,91.0
2021-08-25,76,VALLE,76122,CAICEDONIA,1,26357.0,38.0
2021-08-25,76,VALLE,76130,CANDELARIA,3,84661.0,36.0
2021-08-25,76,VALLE,76147,CARTAGO,1,118803.0,9.0
2021-08-25,76,VALLE,76248,EL CERRITO,3,53983.0,56.0
2021-08-25,76,VALLE,76250,EL DOVIO,1,8513.0,118.0
2021-08-25,76,VALLE,76318,GUACARI,4,30275.0,133.0
2021-08-25,76,VALLE,76364,JAMUNDI,8,131806.0,61.0
2021-08-25,76,VALLE,76400,LA UNION,1,29388.0,35.0
2021-08-25,76,VALLE,76520,PALMIRA,9,302642.0,30.0
2021-08-25,76,VALLE,76670,SAN PEDRO,1,15450.0,65.0
2021-08-25,76,VALLE,76736,SEVILLA,1,36827.0,28.0
2021-08-25,76,VALLE,76823,TORO,2,12091.0,166.0
2021-08-25,76,VALLE,76834,TULUA,4,187159.0,22.0
2021-08-25,76,VALLE,76892,YUMBO,3,95040.0,32.0
2021-08-25,76,VALLE,76895,ZARZAL,1,39343.0,26.0
2021-08-25,81,ARAUCA,81001,ARAUCA,3,75735.0,40.0
2021-08-25,81,ARAUCA,81220,CRAVO NORTE,1,3644.0,275.0
2021-08-25,81,ARAUCA,81300,FORTUL,1,17492.0,58.0
2021-08-25,81,ARAUCA,81736,SARAVENA,3,52884.0,57.0
2021-08-25,85,CASANARE,85001,YOPAL,9,156942.0,58.0
2021-08-25,85,CASANARE,85010,AGUAZUL,1,33440.0,30.0
2021-08-25,85,CASANARE,85125,HATO COROZAL,1,11431.0,88.0
2021-08-25,85,CASANARE,85162,MONTERREY,2,14828.0,135.0
2021-08-25,85,CASANARE,85250,PAZ DE ARIPORO,6,34446.0,175.0
2021-08-25,85,CASANARE,85263,PORE,1,10675.0,94.0
2021-08-25,85,CASANARE,85325,SAN LUIS DE PALENQUE,1,7537.0,133.0
2021-08-25,85,CASANARE,85400,TAMARA,1,6317.0,159.0
2021-08-25,85,CASANARE,85410,TAURAMENA,1,21709.0,47.0
2021-08-25,85,CASANARE,85430,TRINIDAD,1,11734.0,86.0
2021-08-25,86,PUTUMAYO,86001,MOCOA,1,48422.0,21.0
2021-08-25,86,PUTUMAYO,86568,PUERTO ASIS,1,57255.0,18.0
2021-08-25,86,PUTUMAYO,86569,PUERTO CAICEDO,8,11122.0,720.0
2021-08-25,86,PUTUMAYO,86571,PUERTO GUZMAN,1,17495.0,58.0
2021-08-25,86,PUTUMAYO,86760,SANTIAGO,1,6836.0,147.0
2021-08-25,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,2,27455.0,73.0
2021-08-25,88,SAN ANDRES,88001,SAN ANDRES,1,43754.0,23.0
2021-08-25,91,AMAZONAS,91001,LETICIA,1,42844.0,24.0
2021-08-25,08,BARRANQUILLA,08001,BARRANQUILLA,91,1120103.0,82.0
2021-08-25,13,CARTAGENA,13001,CARTAGENA,98,887946.0,111.0
2021-08-25,47,STA MARTA D.E.,47001,SANTA MARTA,46,479853.0,96.0
