fecha,cod_depto,nom_depto,MPIO_CDPMP,nom_mpio,num_casos,poblacion,casos_por_millon
2021-07-01,13,BOLIVAR,13062,ARROYOHONDO,2,8058.0,249.0
2021-07-01,13,BOLIVAR,13074,BARRANCO DE LOBA,3,14435.0,208.0
2021-07-01,13,BOLIVAR,13188,CICUCO,1,13120.0,77.0
2021-07-01,13,BOLIVAR,13244,EL CARMEN DE BOLIVAR,5,67461.0,75.0
2021-07-01,13,BOLIVAR,13268,EL PEÑON,5,7234.0,692.0
2021-07-01,13,BOLIVAR,13430,MAGANGUE,33,128003.0,258.0
2021-07-01,13,BOLIVAR,13442,MARIA LA BAJA,2,45324.0,45.0
2021-07-01,13,BOLIVAR,13458,MONTECRISTO,1,13470.0,75.0
2021-07-01,13,BOLIVAR,13468,MOMPOS,10,43217.0,232.0
2021-07-01,13,BOLIVAR,13490,NOROSÌ,2,7899.0,254.0
2021-07-01,13,BOLIVAR,13549,PINILLOS,2,23349.0,86.0
2021-07-01,13,BOLIVAR,13580,REGIDOR,1,5335.0,188.0
2021-07-01,13,BOLIVAR,13600,RIO VIEJO,2,8125.0,247.0
2021-07-01,13,BOLIVAR,13654,SAN JACINTO,4,23576.0,170.0
2021-07-01,13,BOLIVAR,13657,SAN JUAN NEPOMUCENO,4,35438.0,113.0
2021-07-01,13,BOLIVAR,13667,SAN MARTIN DE LOBA,1,14504.0,69.0
2021-07-01,13,BOLIVAR,13670,SAN PABLO,18,24669.0,730.0
2021-07-01,13,BOLIVAR,13688,SANTA ROSA DEL SUR,22,27825.0,791.0
2021-07-01,13,BOLIVAR,13744,SIMITI,1,15353.0,66.0
2021-07-01,13,BOLIVAR,13760,SOPLAVIENTO,1,9187.0,109.0
2021-07-01,13,BOLIVAR,13836,TURBACO,22,98667.0,223.0
2021-07-01,13,BOLIVAR,13838,TURBANA,1,15550.0,65.0
2021-07-01,13,BOLIVAR,13873,VILLANUEVA,2,21135.0,95.0
2021-07-01,13,BOLIVAR,13894,ZAMBRANO,3,11367.0,264.0
2021-07-01,15,BOYACA,15001,TUNJA,151,167991.0,899.0
2021-07-01,15,BOYACA,15047,AQUITANIA,2,13860.0,145.0
2021-07-01,15,BOYACA,15087,BELEN,1,7322.0,137.0
2021-07-01,15,BOYACA,15097,BOAVITA,2,5024.0,399.0
2021-07-01,15,BOYACA,15131,CALDAS,1,3086.0,325.0
2021-07-01,15,BOYACA,15162,CERINZA,1,3636.0,276.0
2021-07-01,15,BOYACA,15176,CHIQUINQUIRA,7,52321.0,134.0
2021-07-01,15,BOYACA,15180,CHISCAS,1,3587.0,279.0
2021-07-01,15,BOYACA,15185,CHITARAQUE,1,5013.0,200.0
2021-07-01,15,BOYACA,15204,COMBITA,1,12636.0,80.0
2021-07-01,15,BOYACA,15215,CORRALES,2,2479.0,807.0
2021-07-01,15,BOYACA,15226,CUITIVA,1,1628.0,615.0
2021-07-01,15,BOYACA,15232,CHIQUIZA,1,4347.0,231.0
2021-07-01,15,BOYACA,15236,CHIVOR,6,1669.0,3595.0
2021-07-01,15,BOYACA,15238,DUITAMA,174,117606.0,1480.0
2021-07-01,15,BOYACA,15272,FIRAVITOBA,3,6523.0,460.0
2021-07-01,15,BOYACA,15276,FLORESTA,1,3186.0,314.0
2021-07-01,15,BOYACA,15296,GAMEZA,2,4395.0,456.0
2021-07-01,15,BOYACA,15299,GARAGOA,2,14145.0,142.0
2021-07-01,15,BOYACA,15322,GUATEQUE,4,8123.0,493.0
2021-07-01,15,BOYACA,15362,IZA,1,1944.0,515.0
2021-07-01,15,BOYACA,15367,JENESANO,2,6333.0,316.0
2021-07-01,15,BOYACA,15407,VILLA DE LEYVA,6,14406.0,417.0
2021-07-01,15,BOYACA,15466,MONGUI,1,3895.0,257.0
2021-07-01,15,BOYACA,15469,MONIQUIRA,4,20848.0,192.0
2021-07-01,15,BOYACA,15476,MOTAVITA,2,5253.0,381.0
2021-07-01,15,BOYACA,15480,MUZO,2,8323.0,241.0
2021-07-01,15,BOYACA,15491,NOBSA,18,14651.0,1229.0
2021-07-01,15,BOYACA,15507,OTANCHE,1,6997.0,143.0
2021-07-01,15,BOYACA,15516,PAIPA,29,31141.0,932.0
2021-07-01,15,BOYACA,15537,PAZ DE RIO,1,4047.0,248.0
2021-07-01,15,BOYACA,15542,PESCA,2,6604.0,303.0
2021-07-01,15,BOYACA,15572,PUERTO BOYACA,15,44784.0,335.0
2021-07-01,15,BOYACA,15599,RAMIRIQUI,1,8889.0,113.0
2021-07-01,15,BOYACA,15621,RONDON,1,2230.0,449.0
2021-07-01,15,BOYACA,15638,SACHICA,1,4823.0,208.0
2021-07-01,15,BOYACA,15646,SAMACA,7,17542.0,400.0
2021-07-01,15,BOYACA,15664,SAN JOSE DE PARE,2,4658.0,430.0
2021-07-01,15,BOYACA,15681,SAN PABLO DE BORBUR,1,5839.0,172.0
2021-07-01,15,BOYACA,15686,SANTANA,6,6826.0,879.0
2021-07-01,15,BOYACA,15693,SANTA ROSA DE VITERBO,9,11329.0,795.0
2021-07-01,15,BOYACA,15740,SIACHOQUE,3,6649.0,452.0
2021-07-01,15,BOYACA,15753,SOATA,9,8538.0,1055.0
2021-07-01,15,BOYACA,15755,SOCOTA,1,7133.0,141.0
2021-07-01,15,BOYACA,15757,SOCHA,6,7509.0,800.0
2021-07-01,15,BOYACA,15759,SOGAMOSO,95,120462.0,789.0
2021-07-01,15,BOYACA,15764,SORACA,1,5904.0,170.0
2021-07-01,15,BOYACA,15776,SUTAMARCHAN,1,5755.0,174.0
2021-07-01,15,BOYACA,15790,TASCO,3,5150.0,583.0
2021-07-01,15,BOYACA,15806,TIBASOSA,5,11023.0,454.0
2021-07-01,15,BOYACA,15808,TINJACA,1,2869.0,349.0
2021-07-01,15,BOYACA,15814,TOCA,4,8707.0,460.0
2021-07-01,15,BOYACA,15816,TOGUI,1,4224.0,237.0
2021-07-01,15,BOYACA,15820,TOPAGA,1,3531.0,284.0
2021-07-01,15,BOYACA,15835,TURMEQUE,1,5856.0,171.0
2021-07-01,15,BOYACA,15842,UMBITA,1,6905.0,145.0
2021-07-01,15,BOYACA,15861,VENTAQUEMADA,1,13984.0,72.0
2021-07-01,17,CALDAS,17001,MANIZALES,246,400436.0,615.0
2021-07-01,17,CALDAS,17013,AGUADAS,4,20712.0,194.0
2021-07-01,17,CALDAS,17042,ANSERMA,1,31811.0,32.0
2021-07-01,17,CALDAS,17174,CHINCHINA,21,48484.0,434.0
2021-07-01,17,CALDAS,17272,FILADELFIA,3,9630.0,312.0
2021-07-01,17,CALDAS,17380,LA DORADA,31,70802.0,438.0
2021-07-01,17,CALDAS,17444,MARQUETALIA,1,12146.0,83.0
2021-07-01,17,CALDAS,17486,NEIRA,8,20495.0,391.0
2021-07-01,17,CALDAS,17524,PALESTINA,5,13560.0,369.0
2021-07-01,17,CALDAS,17541,PENSILVANIA,2,17342.0,116.0
2021-07-01,17,CALDAS,17614,RIOSUCIO,7,48329.0,145.0
2021-07-01,17,CALDAS,17616,RISARALDA,2,9840.0,204.0
2021-07-01,17,CALDAS,17653,SALAMINA,6,16759.0,359.0
2021-07-01,17,CALDAS,17662,SAMANA,2,17466.0,115.0
2021-07-01,17,CALDAS,17665,SAN JOSE,4,4524.0,885.0
2021-07-01,17,CALDAS,17777,SUPIA,8,26571.0,302.0
2021-07-01,17,CALDAS,17873,VILLAMARIA,30,62831.0,478.0
2021-07-01,18,CAQUETA,18001,FLORENCIA,46,156789.0,294.0
2021-07-01,18,CAQUETA,18150,CARTAGENA DEL CHAIRA,7,27939.0,251.0
2021-07-01,18,CAQUETA,18205,CURILLO,2,7518.0,267.0
2021-07-01,18,CAQUETA,18247,EL DONCELLO,1,17775.0,57.0
2021-07-01,18,CAQUETA,18256,EL PAUJIL,5,13014.0,385.0
2021-07-01,18,CAQUETA,18410,LA MONTANITA,2,12128.0,165.0
2021-07-01,18,CAQUETA,18592,PUERTO RICO,1,24395.0,41.0
2021-07-01,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,14,42390.0,331.0
2021-07-01,19,CAUCA,19001,POPAYAN,180,277270.0,650.0
2021-07-01,19,CAUCA,19050,ARGELIA,1,20136.0,50.0
2021-07-01,19,CAUCA,19100,BOLIVAR,3,35837.0,84.0
2021-07-01,19,CAUCA,19130,CAJIBIO,5,32237.0,156.0
2021-07-01,19,CAUCA,19137,CALDONO,1,36139.0,28.0
2021-07-01,19,CAUCA,19142,CALOTO,2,25416.0,79.0
2021-07-01,19,CAUCA,19212,CORINTO,3,21975.0,137.0
2021-07-01,19,CAUCA,19256,EL TAMBO,2,38688.0,52.0
2021-07-01,19,CAUCA,19290,FLORENCIA,2,5089.0,394.0
2021-07-01,19,CAUCA,19364,JAMBALO,5,16353.0,306.0
2021-07-01,19,CAUCA,19392,LA SIERRA,1,9935.0,101.0
2021-07-01,19,CAUCA,19397,LA VEGA,2,19777.0,102.0
2021-07-01,19,CAUCA,19473,MORALES,4,29737.0,135.0
2021-07-01,19,CAUCA,19513,PADILLA,1,8763.0,115.0
2021-07-01,19,CAUCA,19532,PATIA (EL BORDO),24,28586.0,840.0
2021-07-01,19,CAUCA,19548,PIENDAMO,11,33431.0,330.0
2021-07-01,19,CAUCA,19573,PUERTO TEJADA,4,40244.0,100.0
2021-07-01,19,CAUCA,19585,PURACE,29,14952.0,1940.0
2021-07-01,19,CAUCA,19698,SANTANDER DE QUILICHAO,27,96032.0,282.0
2021-07-01,19,CAUCA,19701,SANTA ROSA,3,5045.0,595.0
2021-07-01,19,CAUCA,19760,SOTARA,2,11958.0,168.0
2021-07-01,19,CAUCA,19780,SUAREZ,3,19690.0,153.0
2021-07-01,19,CAUCA,19785,SUCRE,3,6201.0,484.0
2021-07-01,19,CAUCA,19807,TIMBIO,46,32217.0,1428.0
2021-07-01,19,CAUCA,19821,TORIBIO,6,30654.0,196.0
2021-07-01,19,CAUCA,19845,VILLARICA,3,18761.0,160.0
2021-07-01,20,CESAR,20001,VALLEDUPAR,147,459349.0,321.0
2021-07-01,20,CESAR,20011,AGUACHICA,42,95878.0,439.0
2021-07-01,20,CESAR,20013,AGUSTIN CODAZZI,40,58621.0,683.0
2021-07-01,20,CESAR,20045,BECERRIL,2,20477.0,98.0
2021-07-01,20,CESAR,20060,BOSCONIA,6,37531.0,160.0
2021-07-01,20,CESAR,20178,CHIRIGUANA,5,27006.0,186.0
2021-07-01,20,CESAR,20228,CURUMANI,2,34838.0,58.0
2021-07-01,20,CESAR,20238,EL COPEY,3,28550.0,106.0
2021-07-01,20,CESAR,20250,EL PASO,1,34620.0,29.0
2021-07-01,20,CESAR,20295,GAMARRA,2,12444.0,161.0
2021-07-01,20,CESAR,20383,LA GLORIA,1,14989.0,67.0
2021-07-01,20,CESAR,20400,LA JAGUA DE IBIRICO,2,37356.0,54.0
2021-07-01,20,CESAR,20443,MANAURE BALCON DEL CESAR,4,9313.0,430.0
2021-07-01,20,CESAR,20614,RIO DE ORO,4,14408.0,278.0
2021-07-01,20,CESAR,20621,ROBLES (LA PAZ),5,26109.0,192.0
2021-07-01,20,CESAR,20710,SAN ALBERTO,2,23040.0,87.0
2021-07-01,20,CESAR,20750,SAN DIEGO,4,18531.0,216.0
2021-07-01,20,CESAR,20770,SAN MARTIN,8,20452.0,392.0
2021-07-01,23,CORDOBA,23001,MONTERIA,188,433723.0,434.0
2021-07-01,23,CORDOBA,23068,AYAPEL,1,38816.0,26.0
2021-07-01,23,CORDOBA,23079,BUENAVISTA,1,18344.0,55.0
2021-07-01,23,CORDOBA,23090,CANALETE,1,14831.0,68.0
2021-07-01,23,CORDOBA,23162,CERETE,34,96252.0,354.0
2021-07-01,23,CORDOBA,23168,CHIMA,12,13492.0,890.0
2021-07-01,23,CORDOBA,23182,CHINU,5,42680.0,118.0
2021-07-01,23,CORDOBA,23189,CIENAGA DE ORO,8,56278.0,143.0
2021-07-01,23,CORDOBA,23300,COTORRA,3,16215.0,186.0
2021-07-01,23,CORDOBA,23417,LORICA,45,98491.0,457.0
2021-07-01,23,CORDOBA,23419,LOS CORDOBAS,1,15886.0,63.0
2021-07-01,23,CORDOBA,23466,MONTELIBANO,5,71824.0,70.0
2021-07-01,23,CORDOBA,23555,PLANETA RICA,22,60259.0,366.0
2021-07-01,23,CORDOBA,23570,PUEBLO NUEVO,1,26968.0,38.0
2021-07-01,23,CORDOBA,23580,PUERTO LIBERTADOR,4,35362.0,114.0
2021-07-01,23,CORDOBA,23586,PURISIMA,2,14705.0,137.0
2021-07-01,23,CORDOBA,23660,SAHAGUN,32,94020.0,341.0
2021-07-01,23,CORDOBA,23670,SAN ANDRES SOTAVENTO,18,42046.0,429.0
2021-07-01,23,CORDOBA,23672,SAN ANTERO,18,29028.0,621.0
2021-07-01,23,CORDOBA,23675,SAN BERNARDO DEL VIENTO,10,29437.0,340.0
2021-07-01,23,CORDOBA,23686,SAN PELAYO,8,40617.0,197.0
2021-07-01,23,CORDOBA,23807,TIERRALTA,1,86578.0,12.0
2021-07-01,23,CORDOBA,23815,TUCHIN,7,40033.0,175.0
2021-07-01,25,CUNDINAMARCA,25001,AGUA DE DIOS,3,10742.0,280.0
2021-07-01,25,CUNDINAMARCA,25019,ALBAN,11,6136.0,1793.0
2021-07-01,25,CUNDINAMARCA,25035,ANAPOIMA,3,12241.0,246.0
2021-07-01,25,CUNDINAMARCA,25040,ANOLAIMA,1,12204.0,82.0
2021-07-01,25,CUNDINAMARCA,25053,ARBELAEZ,7,10005.0,700.0
2021-07-01,25,CUNDINAMARCA,25095,BITUIMA,1,2224.0,450.0
2021-07-01,25,CUNDINAMARCA,25099,BOJACA,1,9674.0,104.0
2021-07-01,25,CUNDINAMARCA,25123,CACHIPAY,1,9274.0,108.0
2021-07-01,25,CUNDINAMARCA,25126,CAJICA,39,81111.0,481.0
2021-07-01,25,CUNDINAMARCA,25148,CAPARRAPI,2,10301.0,195.0
2021-07-01,25,CUNDINAMARCA,25151,CAQUEZA,2,15594.0,129.0
2021-07-01,25,CUNDINAMARCA,25175,CHIA,78,129613.0,602.0
2021-07-01,25,CUNDINAMARCA,25178,CHIPAQUE,1,8633.0,116.0
2021-07-01,25,CUNDINAMARCA,25183,CHOCONTA,1,19825.0,51.0
2021-07-01,25,CUNDINAMARCA,25200,COGUA,11,21102.0,522.0
2021-07-01,25,CUNDINAMARCA,25214,COTA,31,31868.0,973.0
2021-07-01,25,CUNDINAMARCA,25224,CUCUNUBA,3,7013.0,428.0
2021-07-01,25,CUNDINAMARCA,25245,EL COLEGIO,1,22775.0,44.0
2021-07-01,25,CUNDINAMARCA,25260,EL ROSAL,10,21887.0,457.0
2021-07-01,25,CUNDINAMARCA,25269,FACATATIVA,36,136041.0,265.0
2021-07-01,25,CUNDINAMARCA,25279,FOMEQUE,3,10749.0,280.0
2021-07-01,25,CUNDINAMARCA,25281,FOSCA,5,5578.0,897.0
2021-07-01,25,CUNDINAMARCA,25286,FUNZA,65,90854.0,716.0
2021-07-01,25,CUNDINAMARCA,25288,FUQUENE,2,4849.0,413.0
2021-07-01,25,CUNDINAMARCA,25290,FUSAGASUGA,73,134658.0,543.0
2021-07-01,25,CUNDINAMARCA,25293,GACHALA,1,4378.0,229.0
2021-07-01,25,CUNDINAMARCA,25295,GACHANCIPA,10,16633.0,602.0
2021-07-01,25,CUNDINAMARCA,25307,GIRARDOT,48,92903.0,517.0
2021-07-01,25,CUNDINAMARCA,25317,GUACHETA,1,12405.0,81.0
2021-07-01,25,CUNDINAMARCA,25320,GUADUAS,9,27571.0,327.0
2021-07-01,25,CUNDINAMARCA,25322,GUASCA,3,14992.0,201.0
2021-07-01,25,CUNDINAMARCA,25326,GUATAVITA,5,6148.0,814.0
2021-07-01,25,CUNDINAMARCA,25328,GUAYABAL DE SIQUIMA,2,3604.0,555.0
2021-07-01,25,CUNDINAMARCA,25339,GUTIERREZ,1,3311.0,303.0
2021-07-01,25,CUNDINAMARCA,25372,JUNIN,6,5234.0,1147.0
2021-07-01,25,CUNDINAMARCA,25377,LA CALERA,11,28501.0,386.0
2021-07-01,25,CUNDINAMARCA,25386,LA MESA,11,29452.0,374.0
2021-07-01,25,CUNDINAMARCA,25394,LA PALMA,1,7708.0,130.0
2021-07-01,25,CUNDINAMARCA,25398,LA PEÑA,1,5429.0,185.0
2021-07-01,25,CUNDINAMARCA,25402,LA VEGA,7,13085.0,535.0
2021-07-01,25,CUNDINAMARCA,25407,LENGUAZAQUE,1,9425.0,107.0
2021-07-01,25,CUNDINAMARCA,25430,MADRID,86,109696.0,784.0
2021-07-01,25,CUNDINAMARCA,25436,MANTA,3,3354.0,895.0
