fecha_reporte_web,departamento,departamento_nom,ciudad_municipio,ciudad_municipio_nom,id_de_caso
20/8/2021 0:00:00,20,CESAR,20710,SAN ALBERTO,2
20/8/2021 0:00:00,20,CESAR,20787,TAMALAMEQUE,1
20/8/2021 0:00:00,23,CORDOBA,23001,MONTERIA,25
20/8/2021 0:00:00,23,CORDOBA,23090,CANALETE,2
20/8/2021 0:00:00,23,CORDOBA,23162,CERETE,6
20/8/2021 0:00:00,23,CORDOBA,23182,CHINU,2
20/8/2021 0:00:00,23,CORDOBA,23189,CIENAGA DE ORO,5
20/8/2021 0:00:00,23,CORDOBA,23417,LORICA,2
20/8/2021 0:00:00,23,CORDOBA,23419,LOS CORDOBAS,2
20/8/2021 0:00:00,23,CORDOBA,23466,MONTELIBANO,22
20/8/2021 0:00:00,23,CORDOBA,23500,MOÑITOS,2
20/8/2021 0:00:00,23,CORDOBA,23570,PUEBLO NUEVO,4
20/8/2021 0:00:00,23,CORDOBA,23574,PUERTO ESCONDIDO,1
20/8/2021 0:00:00,23,CORDOBA,23580,PUERTO LIBERTADOR,2
20/8/2021 0:00:00,23,CORDOBA,23660,SAHAGUN,11
20/8/2021 0:00:00,23,CORDOBA,23670,SAN ANDRES SOTAVENTO,2
20/8/2021 0:00:00,23,CORDOBA,23675,SAN BERNARDO DEL VIENTO,13
20/8/2021 0:00:00,23,CORDOBA,23682,SAN JOSE DE URE,1
20/8/2021 0:00:00,23,CORDOBA,23686,SAN PELAYO,4
20/8/2021 0:00:00,25,CUNDINAMARCA,25126,CAJICA,4
20/8/2021 0:00:00,25,CUNDINAMARCA,25151,CAQUEZA,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25175,CHIA,13
20/8/2021 0:00:00,25,CUNDINAMARCA,25214,COTA,7
20/8/2021 0:00:00,25,CUNDINAMARCA,25245,EL COLEGIO,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25269,FACATATIVA,3
20/8/2021 0:00:00,25,CUNDINAMARCA,25281,FOSCA,1
20/8/2021 0:00:00,25,CUNDINAMARCA,25286,FUNZA,4
20/8/2021 0:00:00,25,CUNDINAMARCA,25290,FUSAGASUGA,20
20/8/2021 0:00:00,25,CUNDINAMARCA,25307,GIRARDOT,6
